addr,name,name_confidence,name_evidence,unit,scale,offset,x_unit,x_scale,x_offset,y_unit,y_scale,y_offset,scale_confidence,fr_module,fr_page,description,x_axis_addr,x_n,x_elem,y_axis_addr,y_n,y_elem,signed
0x5C72B2,KLHDEV_injector_curve,hypothesis,"B6 #14 re/findings/injection.md S5.5; lookup_1d_u16(0x5C729C, ti_raw) at 0x0AC3CC",-,1/32768,,us,1,,,,,static,RKTI,1826,"HDEV master curve: linearises small injection quantities. Q15, 0.977..1.002 over ti_raw 0.55..6.5 ms",,,,,,,
0x5C72C6,KLPBR_backpressure_n,static,B6 #14 re/findings/injection.md S5.7; direct load at 0x0AC460,-,,,,,,,,,static,RKTI,1826,Breakpoint count (12) of KLPBR,,,,,,,
0x5C72E0,KLPBR_backpressure,hypothesis,B6 #14 re/findings/injection.md S5.7; lookup_1d_g_s16_u16 at 0x0AC468,,,,degCA,3/128,,,,,hypothesis,RKTI,1826,"Cylinder back pressure over crank angle; dp = prist - ((KLPBR(x) * y) >> 17). The value is a scaled pressure whose divisor is inside the caller, so no unit is claimed. The x axis is read as the internal 3/128 degCA angle (0..177 degCA) - HYPOTHESIS",,,,,,,
0x5C72F8,KLTIKRPR_flow_vs_dp,hypothesis,B6 #14 re/findings/injection.md S5.2; interpolated inline at 0x0AC50C on the 0x5D3DBE key,,,,bar,0.005,,,,,static,RKTI,1826,"Flow correction over the differential pressure across the injector. value * sqrt(dp) is constant to 1 % - the Bernoulli orifice law. frt = (KRKATE * KLTIKRPR) >> 14, so the value carries KRKATE's ms/% scaling and no unit is claimed for it",,,,,,,
0x5C7310,TVUB_deadtime_vs_dp,hypothesis,B6 #14 re/findings/injection.md S5.3; interpolated inline at 0x0AC5A4 on the same key,us,1,,bar,0.005,,,,,static,RKTI,1826,"Injector dead time, added to ti by rk2ti, so it is in ti units (1 us). In this dataset it is a curve over dp, not over battery voltage. FR KLTVTSV / TVUB",,,,,,,
0x5C7328,TIMINP_min_inj_time,hypothesis,"B6 #14 re/findings/injection.md S5.6; clamp at 0x0AC410, flag compare at 0x41C520",us,1,,,,,,,,static,RKTI,1826,"Minimum injection time, 900 = 0.9 ms. aes_ti_out also compares ti against it to raise the 'ti at minimum' flag",,,,,,,
0x5C753A,cand_DZW_BANK_OFFSET,hypothesis,"B7 #15 re/findings/ignition.md S4; direct load at 0x41D234. D3 #41: read with lbz and sign-extended, so it is s8, not u8 as the detector recorded",degCA,0.75,,,,,,,,static,ZWBAS,3081,"Signed calibration offset added to EVERY bank's final ignition angle in zwbas_per_bank, after the knock retard. 0 in this dataset",,,,,,,1
0x5C753C,cand_CWZWGRU,hypothesis,B7 #15 re/findings/ignition.md S3; direct load at 0x41D3B4,-,,,,,,,,,static,ZWGRU,3085,Code word: bit 7 clear enables the 0x800006-0x800007 tester-adaptation term in zwgru_build. 0x00 in this dataset,,,,,,,
0x5C753D,cand_DZWKG_MAX,hypothesis,B7 #15 re/findings/ignition.md S3; direct load at 0x41D300,degCA,0.75,,,,,,,,static,ZWGRU,3085,"Upper clamp on the KFDZWKG delta. 0 in this dataset, which disables the delta",,,,,,,1
0x5C753E,cand_KFDZWKG,hypothesis,"B7 #15 re/findings/ignition.md S3; interp_2d_s8 at 0x41D2D8. D3 #41: the two axis keys it is given, 0x7FD5EC and 0x7FD5F0, are written only by zwgru_kfzw_lookup 0x41D334 (0x41D34C / 0x41D360), so the axes are KFZW's own SNM16ZUUW x SRL12ZUUW - VERIFIED-STATIC",degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3085,"Delta on the KFZW grid, weighted 1.15 and clamped by 0x5C753D. Zero except a -50..-10 degCA island at 2000-3000 rpm / 41-73 % load",0x5C775A,12,u16,0x5C7738,16,u16,
0x5C75FE,KFZW,static,"B7 #15 re/findings/ignition.md S2; interp_2d_s8 at 0x41D378, the only consumer is zwgru_kfzw_lookup 0x41D334; VERIFIED-DYNAMIC tests/test_zw_model.py",degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3085,"Base ignition map, 47.25 degBTDC at low load down to 0 deg at 520 rpm full load. This dataset has no KFZW2/KFZWLB blend",,,,,,,
0x5C76D5,cand_KFZWETA,hypothesis,"B8 #16 re/findings/start.md S3.1 S5.1; 0x4310E8, result 0x7FD313 is added by zwgru_build",degCA,0.75,,-,1/128,,1/min,40,,static,ZWGRU,3085,"Ignition correction over the efficiency demand (0x7FD271 = 0x803042 >> 5, 128 = 1.0): +8.25 degCA at eta 0.65 falling to -0.75 degCA at eta 1.2",,,,,,,
0x5C7738,SNM16ZUUW,hypothesis,"B7 #15 re/findings/ignition.md S2; axis_search_u16_hint at 0x41D34C, struct 0x5C7736",1/min,0.25,,1/min,0.25,,,,,static,ZWGRU,3085,"Engine-speed breakpoints of KFZW and of the KFDZWKG delta, 520..6520 rpm",,,,,,,
0x5C775A,SRL12ZUUW,hypothesis,"B7 #15 re/findings/ignition.md S2; axis_search_u16_hint at 0x41D360, struct 0x5C7758",%,100/4096,,%,100/4096,,,,,static,ZWGRU,3085,"Relative-charge breakpoints of KFZW and of the KFDZWKG delta, 10.2..103.9 %",,,,,,,
0x5C7772,cand_DZWZYLB2,hypothesis,"D3 #41: FUN_000BDB58 is the central axis-key process; it writes 0x7FD820 = axis_search_u16_hint(0x5C8982, nmot_w) at 0x0BDB98 and 0x7FD84C = axis_search_u16_hint(0x5C89E0, rl_w) at 0x0BDBAC, and those two cells have no other writer in the image (tools/sda_xref.py --var). Every map below is read with exactly that key pair; interp_2d_s8 at 0x4311BC in FUN_00431140, result 0x7FD317, which zwout_select 0x41D464 adds to the second bank only (re/findings/ignition.md S8)",degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWSEL,3111,"Bank-2 ignition offset over the shared nmot x rl grid, -3.75..+2.25 degCA. This is the only bank-to-bank ignition difference in the dataset",0x5C89E2,12,u16,0x5C8984,16,u16,
0x5C78B2,cand_KFDZWZWB,hypothesis,"D3 #41: FUN_000BDB58 is the central axis-key process; it writes 0x7FD820 = axis_search_u16_hint(0x5C8982, nmot_w) at 0x0BDB98 and 0x7FD84C = axis_search_u16_hint(0x5C89E0, rl_w) at 0x0BDBAC, and those two cells have no other writer in the image (tools/sda_xref.py --var). Every map below is read with exactly that key pair; interp_2d_s8 at 0x431208 in FUN_004311D4, result 0x7FD31A, one of the terms zwbas_per_bank 0x41D10C adds",degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWBAS,3081,"Additive ignition delta on the shared grid, gated by 0x7FECF3 and dwbho1smn_w bit 10. All zero in this dataset",0x5C89E2,12,u16,0x5C8984,16,u16,
0x5C7972,cand_CWZWMN,hypothesis,"D3 #41: read at 0x458EC8/0x458F0C in FUN_00458E74 as a bit field (bit 0 selects 0x5D5C8B, bit 3 selects 0x5D5D4B over zwstt)",-,,,,,,,,,static,ZWMIN,3095,Code word of the ZWMIN module,,,,,,,
0x5C7973,cand_KFZWMNLB,hypothesis,"D3 #41: FUN_00458E74 is %ZWMIN - it builds 0x7FD32B and 0x7FD32C, which zwmin_select 0x41D440 turns into zwmin 0x7FD32A (re/findings/ignition.md S8). Every map is read with key_y 0x7FD5F4 (axis 0x5C7A36, nmot_w) and key_x 0x7FD84C (axis 0x5C89E0, rl_w); interp_2d_s8 at 0x458F5C, taken when 0x7FD306 or 0x802AB2 bit 6 is set - the same bit that selects 0x7FD32C over 0x7FD32B in zwmin_select and that gates the bank map 0x5C7872",degCA,0.75,,,,,,,,static,ZWMIN,3095,Minimum ignition angle for the charge-motion (Ladungsbewegung) branch. All cells -33 = -24.75 degCA,0x5C89E2,12,u16,0x5C7A38,16,u16,
0x5C7A38,axis_zwmn_nmot,static,"D3 #41: axis_search_u16_hint(0x5C7A36, nmot_w) at 0x458E90, key 0x7FD5F4, used by every ZWMIN map",1/min,0.25,,1/min,0.25,,,,,static,ZWMIN,3095,"Engine-speed breakpoints of the ZWMIN family, 520..6520 rpm. The FR declares the ZWMIN maps over SNM18ZWMUW (18 points); this dataset uses 16",,,,,,,
0x5C7A58,cand_KFDZWGRU,hypothesis,"D3 #41: FUN_000BDB58 is the central axis-key process; it writes 0x7FD820 = axis_search_u16_hint(0x5C8982, nmot_w) at 0x0BDB98 and 0x7FD84C = axis_search_u16_hint(0x5C89E0, rl_w) at 0x0BDBAC, and those two cells have no other writer in the image (tools/sda_xref.py --var). Every map below is read with exactly that key pair; interp_2d_s8 at 0x431250 in FUN_00431228, weighted by 0x80287A >> 16, result 0x7FD337, which zwgru_build 0x41D38C adds",degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3085,"Additive ignition delta on the shared grid, weighted by a Q16 factor before the sum. All zero in this dataset",0x5C89E2,12,u16,0x5C8984,16,u16,
0x5C7B23,KFZWSTN,hypothesis,B8 #16 re/findings/start.md S3.1 S5; lookup_2d_g_u8_u8_s8 at 0x431328,degCA,0.75,,degC,0.75,-48,1/min,40,,static,ZWSTT,3077,Speed term added to zwstt. All zero in this dataset,,,,,,,
0x5C7B40,cand_KFZWSTT2,hypothesis,"B8 #16 re/findings/start.md S3.1 S5; 0x4312DC, used when 0x7FCE0C bit 1 is set",degCA,0.75,,degC,0.75,-48,1/min,40,,static,ZWSTT,3077,Alternative start-angle map,,,,,,,
0x5C7B64,KFZWSTT,hypothesis,B8 #16 re/findings/start.md S3.1 S5; lookup_2d_g_u8_u8_s8 at 0x431304; VERIFIED-DYNAMIC tests/test_start_model.py,degCA,0.75,,degC,0.75,-48,ign,1,,static,ZWSTT,3077,"Start ignition angle over the ignition count since start (zdgz) and the latched coolant temperature. -49.5 degCA at the first cold fire, walking to +9.75 degCA by the twelfth",,,,,,,
0x5C7BAB,cand_KLZWSTT,hypothesis,B8 #16 re/findings/start.md S3.1 S5; lookup_1d_g_u8_s8 at 0x431360,degCA,0.75,,,,,,,,static,ZWSTT,3077,1-D term added to zwstt over RAM 0x7FD3E5. All zero in this dataset,,,,,,,
0x5C82BE,cand_KFKE_first,hypothesis,B7 #15 re/findings/ignition.md S13.1; lookup_2d_s16 in krke_reference_maps 0x4163E0,,,,,,,,,,hypothesis,KRKE,3191,"The first of the three 8 x 4 s16 knock-detection reference/threshold maps. The FR calls this family KFKE0..KFKE7; which member this is was not established, and the two axis inputs were not identified",,,,,,,
0x5C831A,cand_KFKE_second,hypothesis,B7 #15 re/findings/ignition.md S13.1; lookup_2d_s16 in krke_reference_maps 0x4163E0,,,,,,,,,,hypothesis,KRKE,3191,"The second of the three 8 x 4 s16 knock-detection reference/threshold maps. The FR calls this family KFKE0..KFKE7; which member this is was not established, and the two axis inputs were not identified",,,,,,,
0x5C8376,cand_KFKE_third,hypothesis,B7 #15 re/findings/ignition.md S13.1; lookup_2d_s16 in krke_reference_maps 0x4163E0,,,,,,,,,,hypothesis,KRKE,3191,"The third of the three 8 x 4 s16 knock-detection reference/threshold maps. The FR calls this family KFKE0..KFKE7; which member this is was not established, and the two axis inputs were not identified",,,,,,,
0x5C83DE,cand_KRREF0,hypothesis,B7 #15 re/findings/ignition.md S13.1; read by krke_knock_detect 0x416374 on an enable edge,,,,,,,,,,hypothesis,KRKE,3191,Reseed value of the per-cylinder knock reference levels (0x7FEE2A / 0x7FEE38),,,,,,,
0x5C83EA,cand_KRINTW_lower,hypothesis,"B7 #15 re/findings/ignition.md S13.1; one of the four bytes 0x5C83EA..0x5C83ED minimised with 0x8020C4 into the integration window 0x7FCE4B, floor 2",-,,,,,,,,,hypothesis,KRKE,3191,Lower bound of the knock integration window,,,,,,,
0x5C83ED,cand_KRINTW_upper,hypothesis,"B7 #15 re/findings/ignition.md S13.1; one of the four bytes 0x5C83EA..0x5C83ED minimised with 0x8020C4 into the integration window 0x7FCE4B, floor 2",-,,,,,,,,,hypothesis,KRKE,3191,Upper bound of the knock integration window,,,,,,,
0x5C83F0,cand_KRREF1,hypothesis,B7 #15 re/findings/ignition.md S13.1; read by krke_knock_detect 0x416374 on an enable edge,,,,,,,,,,hypothesis,KRKE,3191,Second reseed value of the per-cylinder knock reference levels (0x7FCE4D),,,,,,,
0x5C8416,cand_krreg_map,hypothesis,B7 #15 re/findings/ignition.md S5; lookup_2d_g_u8_u8_s8 at 0x416E24 in krreg_knock_retard,degCA,0.75,,,,,1/min,40,,static,KRREG,3203,"Retard step of the stationary knock controller, -2.25 degCA below 3200 rpm and -3.0 degCA above. The x input 0x7FCE4C is not identified",,,,,,,
0x5C88A9,axis_awea_nmot,static,"B9 #17 re/findings/rail.md S9.2; axis_search_u8 at 0x115C08, key 0x7FD804",1/min,40,,1/min,40,,,,,static,AWEA,1800,"Engine-speed breakpoints of KFWBHO1SW / KFWBHO1SWE / KFDWBHO1SK, 760..6200 rpm",,,,,,,
0x5C88DB,axis_awea_rl_n,static,"D3 #41: the count byte of axis_awea_rl, loaded at 0x115C14",-,,,,,,,,,static,AWEA,1800,Breakpoint count of axis_awea_rl,,,,,,,
0x5C88DC,axis_awea_rl,static,"B9 #17 re/findings/rail.md S9.2; axis_search_u8 at 0x115C18, key 0x7FD83C. D3 #41: the percent scaling of the u8 relative charge, left open in rail.md S13, follows from SRL11OPUW - the same physical breakpoints (10.2, 21.1, 31.3, 41.4, 52.3, 62.5, 72.7, 83.6 %) appear there as u8 counts 13..107 and in SRL12ZUUW as u16 counts 416..3424 at 100/4096 %/LSB, so the u8 is the u16 shifted right by 5 and 1 LSB = 100/128 %",%,100/128,,%,100/128,,,,,static,AWEA,1800,"Relative-charge breakpoints of the injection-window maps, 10.2..83.6 %",,,,,,,
0x5C8984,axis_nmot16_w,static,"D3 #41: FUN_000BDB58 is the central axis-key process; it writes 0x7FD820 = axis_search_u16_hint(0x5C8982, nmot_w) at 0x0BDB98 and 0x7FD84C = axis_search_u16_hint(0x5C89E0, rl_w) at 0x0BDBAC, and those two cells have no other writer in the image (tools/sda_xref.py --var). Every map below is read with exactly that key pair",1/min,0.25,,1/min,0.25,,,,,static,ZWGRU,3085,"The shared 16-point engine-speed breakpoint block, 520..6520 rpm - the same distribution as SNM16ZUUW but a separate object. The FR calls this family SNM16<module>UW; which label this one carries is not established, so the name is descriptive",,,,,,,
0x5C89E0,axis_rl12_w_n,static,"D3 #41: the {n=12} head of the shared rl axis block, passed as the row length nx to every interp_2d_* call on that grid (0x0F4398, 0x0F440C, 0x0F44B8, 0x4311BC, 0x431208, 0x431250, 0x4364DC, 0x458EA4, ...)",-,,,,,,,,,static,ZWGRU,3085,"Breakpoint count (12) of axis_rl12_w, and therefore the row length of every map on the shared nmot x rl grid",,,,,,,
0x5C89E2,axis_rl12_w,static,"D3 #41: FUN_000BDB58 is the central axis-key process; it writes 0x7FD820 = axis_search_u16_hint(0x5C8982, nmot_w) at 0x0BDB98 and 0x7FD84C = axis_search_u16_hint(0x5C89E0, rl_w) at 0x0BDBAC, and those two cells have no other writer in the image (tools/sda_xref.py --var). Every map below is read with exactly that key pair",%,100/4096,,%,100/4096,,,,,static,ZWGRU,3085,"The shared 12-point relative-charge breakpoint block, 10.2..103.9 %. Near but not equal to SRL12ZUUW (the second breakpoint is 12.5 % instead of 15.6 %), so it is a separate axis; the FR family is SRL12<module>UW",,,,,,,
0x5C8C0C,cand_RLSOLMX,hypothesis,"E3 #41: u8 = 254, read at 21 sites; in FUN_004336E0 at 0x433880 the charge request is 0x803508 = min(2*v, this << 8) and the same constant clamps 0x8034FC (0x434C00) and 0x8034FA (0x434AF4). Since 0x803508 is 100/65536 %/LSB (measuring id 2051 / id 8 handlers), one LSB of this byte is 256 x 100/65536 = 100/256 %, so 254 = 99.2 %",%,100/256,,,,,,,,static,MDFUE,724,Ceiling of the relative charge request: 254 = 99.2 %. Every charge-domain variable in the torque structure is clipped to it,,,,,,,
0x5C8F8A,cand_KFRLSOLDY_ny,static,"E3 #41: u16 = 8, loaded at 0x4346DC as the ny argument of the lookup at 0x4346F4",-,1,,,,,,,,static,MDKOL,720,Row count (8) of cand_KFRLSOLDY / of its s16 charge-deviation axis 0x5C8F8E,,,,,,,
0x5C8F8C,cand_KFRLSOLDY_nx,static,"E3 #41: u16 = 8, loaded at 0x4346D8 as the nx argument of the lookup at 0x4346F4",-,1,,,,,,,,static,MDKOL,720,Column count (8) of cand_KFRLSOLDY / of its nmot_w axis 0x5C8F9E (3200..24000 = 800..6000 rpm),,,,,,,
0x5C8FAE,cand_KFRLSOLDY,hypothesis,"E3 #41: lookup_2d_g_s16_u16_u16(ny=u16@0x5C8F8A=8, yaxis 0x5C8F8E, nx=u16@0x5C8F8C=8, xaxis 0x5C8F9E, val 0x5C8FAE, key_y = (s16)(0x8034F4 - rlmin 0x803598), key_x = nmot_w) at 0x4346F4 in mdkol_charge_request. The result is multiplied by the Q7 factor 0x7FD43E (0x40..0xFF) and added back: 0x8034F4 = min(0x8034F4 + ((val*fac)>>6), 0x803504), i.e. it is the step by which the charge setpoint approaches the request",%,100/65536,,1/min,0.25,,%,100/65536,,static,MDKOL,720,"Step size of the charge-setpoint approach, over the deviation from rlmin (-11..+7 %) and engine speed (800..6000 rpm). U-shaped in the deviation: smallest (29..119) near the operating point, largest (983) at +7 %",,,,,,,
0x5C902E,cand_KFRLSOLDYS_ny,static,"E3 #41: u16 = 8, loaded at 0x4346B8 as the ny argument of the lookup at 0x4346D0",-,1,,,,,,,,static,MDKOL,720,Row count (8) of cand_KFRLSOLDYS / of its s16 charge-deviation axis 0x5C9032,,,,,,,
0x5C9030,cand_KFRLSOLDYS_nx,static,"E3 #41: u16 = 4, loaded at 0x4346B4 as the nx argument of the lookup at 0x4346D0",-,1,,,,,,,,static,MDKOL,720,Column count (4) of cand_KFRLSOLDYS / of its nmot_w axis 0x5C9042 (4000..12000 = 1000..3000 rpm),,,,,,,
0x5C904A,cand_KFRLSOLDYS,hypothesis,"E3 #41: the twin of cand_KFRLSOLDY, lookup_2d_g_s16_u16_u16(ny=u16@0x5C902E=8, yaxis 0x5C9032, nx=u16@0x5C9030=4, xaxis 0x5C9042, val 0x5C904A, same two keys) at 0x4346D0, taken when 0x7FD445 bit 0 is set (the branch that rl_limit_charge_protect arms at 0x0FC0A0). Its deviation axis is coarser (-20..+40 %) and it has only four speed points (1000, 1500, 2000, 3000 rpm)",%,100/65536,,1/min,0.25,,%,100/65536,,static,MDKOL,720,"Alternative step-size map for the charge-setpoint approach, used on the 0x7FD445.0 branch",,,,,,,
0x5C91AC,cand_RLSOLHYU,hypothesis,"E3 #41: loaded at 0x433730 in FUN_004336E0 as the upper threshold of a hysteresis on 0x803510 = max(0x8034B8, 0x803522): 0x7FD443 bit 4 is set when 0x803510 >= this and cleared when 0x803510 <= 0x5C91AE. 263 counts = 0.80 % at 100/32768 %/LSB",%,100/32768,,,,,,,,static,MDFUE,724,"Upper threshold (0.80 % charge) of the 'charge request above minimum' bit 0x7FD443.4, which gates the flags 0x7FECBF and 0x7FECBC",,,,,,,
0x5C91AE,cand_RLSOLHYL,hypothesis,"E3 #41: loaded at 0x433718 in FUN_004336E0, the lower threshold of the same hysteresis. 99 counts = 0.30 % at 100/32768 %/LSB",%,100/32768,,,,,,,,static,MDFUE,724,Lower threshold (0.30 % charge) of the hysteresis on the charge request 0x803510,,,,,,,
0x5C91F0,cand_DRLSOLMX,hypothesis,E3 #41: loaded at 0x434D30 in FUN_00434C14 and used as 0x803522_new <= 0x803522_old + this; 328 counts = 1.00 % of relative charge at the 100/32768 %/LSB proven for 0x803522,%,100/32768,,,,,,,,static,MDFUE,724,Maximum rise of the charge setpoint rlsol per activation of %MDFUE: 328 = 1.00 % per step. The latch 0x7FECC6 holds the limit until the map value falls back below the ramp,,,,,,,
0x5C91F2,cand_KFMIRLUM,hypothesis,"E3 #41: second map of FUN_00434C14, interp_2d_u16 at 0x434CA8 into 0x803520, weighted by t = 0x7FD448/128 (mul_shr15_sat(0x803520, 0x7FD448 << 8) at 0x434D0C) while 0x5C9372 gets (1-t); 0x7FD448 is reloaded with 0x5D8FB0 = 100 at 0x465D8C while 0x7FE95B is set and counts down to 0 afterwards, so this map only acts during that window. FR %MDFUE p724 has no separate label for it (KFMIRL is instantiated several times), hence the descriptive suffix",%,100/32768,,1/min,0.25,,%,100/65536,,static,MDFUE,724,"Transitional KFMIRL twin, blended over the 100-step counter 0x7FD448: rlsol = (1-t)*KFMIRL + t*this, t = 0x7FD448/128. Its values are higher than KFMIRL's at high speed, i.e. it asks for more charge for the same torque during the transition",,,,,,,
0x5C9372,cand_KFMIRL,hypothesis,"E3 #41: FUN_00434C14 is %MDFUE. It writes key 0x7FD8C8 = axis_search_u16(0x5C968C, 0x8035E6) at 0x434C2C and key 0x7FD8C4 = axis_search_u16(0x5C9672, nmot_w) at 0x434C3C, then interp_2d_u16(map, nx = u16@0x5C9672 = 12, key_y, key_x) at 0x434C90; the result 0x80351E is the (1-t) term of the blend and the only term left once the counter 0x7FD448 has run out, so this is the steady-state map. Output 0x803522 -> 0x803510 -> 0x803508, the x input of every KFPRSOL* map (rail.md S3.1). FR %MDFUE p724 declares KFMIRL(nmot_w, misop..._w) -> rlmd..._w with exactly this role",%,100/32768,,1/min,0.25,,%,100/65536,,static,MDFUE,724,"Relative charge setpoint from the torque setpoint (KFMIRL): rlsol = f(misol, nmot). 0..111.1 %. This is the map the engine runs on in steady state; 0x5C91F2 is blended in only while the counter 0x7FD448 is non-zero",,,,,,,
0x5C94F2,cand_KFMIRLS,hypothesis,"E3 #41: third map of FUN_00434C14, interp_2d_u16 at 0x434C74, taken alone (no blend) when the eight-valued mode index 0x80223B (measuring id 130, VCDS 051.3 / 068.3, format 0x36) equals 7. FR %MDFUE p724 declares KFMIRLS as the second-operating-mode twin of KFMIRL; that our engine ever reaches mode 7 is not established, so the label is a position argument only",%,100/32768,,1/min,0.25,,%,100/65536,,static,MDFUE,724,KFMIRL variant selected when the mode index 0x80223B = 7; falls off much faster with engine speed than the other two,,,,,,,
0x5C9672,axis_mdfue_nmot_n,static,"E3 #41: the count word of the axis block, u16 = 12, loaded at 0x434C68 / 0x434C84 / 0x434C9C as the nx argument of interp_2d_u16",-,,,,,,,,,static,MDFUE,724,"Point count (12) of axis_mdfue_nmot, and the row stride of the three KFMIRL maps",,,,,,,
0x5C9674,axis_mdfue_nmot,static,"E3 #41: {u16 n=12 @0x5C9672; u16 axis[12]} searched with nmot_w at 0x434C3C. Breakpoints 1600, 2400, 3600, 4800, 6400, 8000, 10000, 12800, 16000, 20000, 24000, 28000 = 400, 600, 900, 1200, 1600, 2000, 2500, 3200, 4000, 5000, 6000, 7000 rpm at the proven 0.25 rpm/LSB of nmot_w (0x7FEFB2 / ignition.md S2)",1/min,0.25,,,,,,,,static,MDFUE,724,"Engine-speed breakpoints of the three KFMIRL maps, 400..7000 rpm",,,,,,,
0x5C968E,axis_mdfue_misol,static,"E3 #41: {u16 n=16 @0x5C968C; u16 axis[16]} searched with 0x8035E6 at 0x434C2C. Measuring id 8 (handler 0x0391A8) emits 0x8035E6 as formula 0x21 with A=0xFF and B = (v*255)>>16, i.e. 65536 counts = 100 %; the breakpoints 0, 328, 2621, 5265, 6422, 7864, 10486, 13107, 16384, 20971, 26214, 32768, 39321, 47513, 60292, 65535 are then 0, 0.5, 4.0, 8.0, 9.8, 12, 16, 20, 25, 32, 40, 50, 60, 72.5, 92, 100 % - round numbers only under that factor",%,100/65536,,,,,,,,static,MDFUE,724,"Torque-setpoint breakpoints of the three KFMIRL maps, 0..100 % of the maximum indicated torque (input 0x8035E6)",,,,,,,
