cpu_addr,file_off,space,kind,name,size,evidence,confidence,source,notes
0x0122B0,0x0122B0,ext_flash,func,FUN_000122b0,0x78,ghidra passat_azx_ori.bin 2026-09-15 @0122B0,hypothesis,ghidra,
0x012328,0x012328,ext_flash,func,boot_main_init,0x2B0,ghidra passat_azx_ori.bin 2026-09-15 @012328,static,ghidra,VERIFIED-STATIC -- evidence: called from boot_start; checks IMMR PARTNUM==0x35 (source: dump)
0x0125D8,0x0125D8,ext_flash,func,FUN_000125d8,0x80,ghidra passat_azx_ori.bin 2026-09-15 @0125D8,hypothesis,ghidra,
0x012658,0x012658,ext_flash,func,FUN_00012658,0xB4,ghidra passat_azx_ori.bin 2026-09-15 @012658,hypothesis,ghidra,
0x01270C,0x01270C,ext_flash,func,FUN_0001270c,0x74,ghidra passat_azx_ori.bin 2026-09-15 @01270C,hypothesis,ghidra,
0x012780,0x012780,ext_flash,func,FUN_00012780,0x7C,ghidra passat_azx_ori.bin 2026-09-15 @012780,hypothesis,ghidra,
0x0127FC,0x0127FC,ext_flash,func,FUN_000127fc,0x44,ghidra passat_azx_ori.bin 2026-09-15 @0127FC,hypothesis,ghidra,
0x012840,0x012840,ext_flash,func,FUN_00012840,0x54,ghidra passat_azx_ori.bin 2026-09-15 @012840,hypothesis,ghidra,
0x012894,0x012894,ext_flash,func,FUN_00012894,0xA4,ghidra passat_azx_ori.bin 2026-09-15 @012894,hypothesis,ghidra,
0x012938,0x012938,ext_flash,func,FUN_00012938,0x50,ghidra passat_azx_ori.bin 2026-09-15 @012938,hypothesis,ghidra,
0x012988,0x012988,ext_flash,func,FUN_00012988,0x54,ghidra passat_azx_ori.bin 2026-09-15 @012988,hypothesis,ghidra,
0x0129DC,0x0129DC,ext_flash,func,FUN_000129dc,0x58,ghidra passat_azx_ori.bin 2026-09-15 @0129DC,hypothesis,ghidra,
0x012A34,0x012A34,ext_flash,func,FUN_00012a34,0x4C,ghidra passat_azx_ori.bin 2026-09-15 @012A34,hypothesis,ghidra,
0x012A80,0x012A80,ext_flash,func,FUN_00012a80,0xB4,ghidra passat_azx_ori.bin 2026-09-15 @012A80,hypothesis,ghidra,
0x012B34,0x012B34,ext_flash,func,FUN_00012b34,0x84,ghidra passat_azx_ori.bin 2026-09-15 @012B34,hypothesis,ghidra,
0x012BB8,0x012BB8,ext_flash,func,FUN_00012bb8,0x90,ghidra passat_azx_ori.bin 2026-09-15 @012BB8,hypothesis,ghidra,
0x012C48,0x012C48,ext_flash,func,FUN_00012c48,0x88,ghidra passat_azx_ori.bin 2026-09-15 @012C48,hypothesis,ghidra,
0x012CD0,0x012CD0,ext_flash,func,FUN_00012cd0,0x7C,ghidra passat_azx_ori.bin 2026-09-15 @012CD0,hypothesis,ghidra,
0x012D4C,0x012D4C,ext_flash,func,boot_select_code_directory,0xEC,ghidra passat_azx_ori.bin 2026-09-15 @012D4C,static,ghidra,"VERIFIED-STATIC (B1, issue #8, 2026-09-15). Picks the code/calibration directory: if the word at 0x5FB0 equals 0x11223344 it takes the addresses from 0x5FB4-0x5FC0, otherwise the defaults 0x80100 (code) and 0x1C0100/0x1C0000 (calibration). Result goes to RAM 0x7FE9F0 (r13-0x1600) and DECRAM 0x6F8410-0x6F8420. In this dump 0x5FB0 is 0xFFFFFFFF, so the default branch is taken."
0x012E38,0x012E38,ext_flash,func,FUN_00012e38,0x9C,ghidra passat_azx_ori.bin 2026-09-15 @012E38,hypothesis,ghidra,
0x012ED4,0x012ED4,ext_flash,func,FUN_00012ed4,0x1D0,ghidra passat_azx_ori.bin 2026-09-15 @012ED4,hypothesis,ghidra,
0x0130A4,0x0130A4,ext_flash,func,FUN_000130a4,0x14,ghidra passat_azx_ori.bin 2026-09-15 @0130A4,hypothesis,ghidra,
0x0130B8,0x0130B8,ext_flash,func,FUN_000130b8,0xA0,ghidra passat_azx_ori.bin 2026-09-15 @0130B8,hypothesis,ghidra,
0x013158,0x013158,ext_flash,func,FUN_00013158,0x20,ghidra passat_azx_ori.bin 2026-09-15 @013158,hypothesis,ghidra,
0x013178,0x013178,ext_flash,func,FUN_00013178,0x3C,ghidra passat_azx_ori.bin 2026-09-15 @013178,hypothesis,ghidra,
0x0131B4,0x0131B4,ext_flash,func,FUN_000131b4,0x678,ghidra passat_azx_ori.bin 2026-09-15 @0131B4,hypothesis,ghidra,
0x01383C,0x01383C,ext_flash,func,FUN_0001383c,0x98,ghidra passat_azx_ori.bin 2026-09-15 @01383C,hypothesis,ghidra,
0x0138D4,0x0138D4,ext_flash,func,FUN_000138d4,0xEC,ghidra passat_azx_ori.bin 2026-09-15 @0138D4,hypothesis,ghidra,
0x0139C0,0x0139C0,ext_flash,func,FUN_000139c0,0xE4,ghidra passat_azx_ori.bin 2026-09-15 @0139C0,hypothesis,ghidra,
0x013AA4,0x013AA4,ext_flash,func,FUN_00013aa4,0x19C,ghidra passat_azx_ori.bin 2026-09-15 @013AA4,hypothesis,ghidra,
0x013C40,0x013C40,ext_flash,func,FUN_00013c40,0x124,ghidra passat_azx_ori.bin 2026-09-15 @013C40,hypothesis,ghidra,
0x013D64,0x013D64,ext_flash,func,FUN_00013d64,0x6B0,ghidra passat_azx_ori.bin 2026-09-15 @013D64,hypothesis,ghidra,
0x014414,0x014414,ext_flash,func,FUN_00014414,0xB0,ghidra passat_azx_ori.bin 2026-09-15 @014414,hypothesis,ghidra,
0x0144C4,0x0144C4,ext_flash,func,FUN_000144c4,0x134,ghidra passat_azx_ori.bin 2026-09-15 @0144C4,hypothesis,ghidra,
0x0145F8,0x0145F8,ext_flash,func,FUN_000145f8,0xC,ghidra passat_azx_ori.bin 2026-09-15 @0145F8,hypothesis,ghidra,
0x014604,0x014604,ext_flash,func,cand_tpu_param_scan,0x4D4,ghidra passat_azx_ori.bin 2026-09-15 @014604,dynamic,ghidra,second boot stall; HYPOTHESIS that it is a TPU self-test
0x014AD8,0x014AD8,ext_flash,func,FUN_00014ad8,0x240,ghidra passat_azx_ori.bin 2026-09-15 @014AD8,hypothesis,ghidra,
0x014D18,0x014D18,ext_flash,func,FUN_00014d18,0x350,ghidra passat_azx_ori.bin 2026-09-15 @014D18,hypothesis,ghidra,
0x015068,0x015068,ext_flash,func,FUN_00015068,0x170,ghidra passat_azx_ori.bin 2026-09-15 @015068,hypothesis,ghidra,
0x0151D8,0x0151D8,ext_flash,func,FUN_000151d8,0x1B4,ghidra passat_azx_ori.bin 2026-09-15 @0151D8,hypothesis,ghidra,
0x01538C,0x01538C,ext_flash,func,FUN_0001538c,0x264,ghidra passat_azx_ori.bin 2026-09-15 @01538C,hypothesis,ghidra,
0x0155F0,0x0155F0,ext_flash,thunk,thunk_FUN_000130a4,0x4,ghidra passat_azx_ori.bin 2026-09-15 @0155F0,hypothesis,ghidra,
0x0155F4,0x0155F4,ext_flash,thunk,thunk_FUN_000158ec,0x4,ghidra passat_azx_ori.bin 2026-09-15 @0155F4,hypothesis,ghidra,
0x0155F8,0x0155F8,ext_flash,thunk,thunk_FUN_000159a8,0x4,ghidra passat_azx_ori.bin 2026-09-15 @0155F8,hypothesis,ghidra,
0x0155FC,0x0155FC,ext_flash,thunk,thunk_FUN_000160a0,0x4,ghidra passat_azx_ori.bin 2026-09-15 @0155FC,hypothesis,ghidra,
0x015620,0x015620,ext_flash,func,FUN_00015620,0x48,ghidra passat_azx_ori.bin 2026-09-15 @015620,hypothesis,ghidra,
0x015668,0x015668,ext_flash,func,FUN_00015668,0xD4,ghidra passat_azx_ori.bin 2026-09-15 @015668,hypothesis,ghidra,
0x01573C,0x01573C,ext_flash,func,FUN_0001573c,0x48,ghidra passat_azx_ori.bin 2026-09-15 @01573C,hypothesis,ghidra,
0x015784,0x015784,ext_flash,func,FUN_00015784,0x84,ghidra passat_azx_ori.bin 2026-09-15 @015784,hypothesis,ghidra,
0x015808,0x015808,ext_flash,func,FUN_00015808,0x50,ghidra passat_azx_ori.bin 2026-09-15 @015808,hypothesis,ghidra,
0x015858,0x015858,ext_flash,func,FUN_00015858,0x60,ghidra passat_azx_ori.bin 2026-09-15 @015858,hypothesis,ghidra,
0x0158B8,0x0158B8,ext_flash,func,FUN_000158b8,0x24,ghidra passat_azx_ori.bin 2026-09-15 @0158B8,hypothesis,ghidra,
0x0158DC,0x0158DC,ext_flash,func,FUN_000158dc,0x10,ghidra passat_azx_ori.bin 2026-09-15 @0158DC,hypothesis,ghidra,
0x0158EC,0x0158EC,ext_flash,func,FUN_000158ec,0xBC,ghidra passat_azx_ori.bin 2026-09-15 @0158EC,hypothesis,ghidra,
0x0159A8,0x0159A8,ext_flash,func,FUN_000159a8,0x5C,ghidra passat_azx_ori.bin 2026-09-15 @0159A8,hypothesis,ghidra,
0x015A04,0x015A04,ext_flash,func,FUN_00015a04,0x1C,ghidra passat_azx_ori.bin 2026-09-15 @015A04,hypothesis,ghidra,
0x015A20,0x015A20,ext_flash,func,FUN_00015a20,0x48,ghidra passat_azx_ori.bin 2026-09-15 @015A20,hypothesis,ghidra,
0x015A68,0x015A68,ext_flash,func,FUN_00015a68,0x90,ghidra passat_azx_ori.bin 2026-09-15 @015A68,hypothesis,ghidra,
0x015AF8,0x015AF8,ext_flash,func,FUN_00015af8,0x2A4,ghidra passat_azx_ori.bin 2026-09-15 @015AF8,hypothesis,ghidra,
0x015D9C,0x015D9C,ext_flash,func,FUN_00015d9c,0x304,ghidra passat_azx_ori.bin 2026-09-15 @015D9C,hypothesis,ghidra,
0x0160A0,0x0160A0,ext_flash,func,FUN_000160a0,0x778,ghidra passat_azx_ori.bin 2026-09-15 @0160A0,hypothesis,ghidra,
0x016818,0x016818,ext_flash,thunk,thunk_FUN_00016834,0x4,ghidra passat_azx_ori.bin 2026-09-15 @016818,hypothesis,ghidra,
0x016834,0x016834,ext_flash,func,FUN_00016834,0x28,ghidra passat_azx_ori.bin 2026-09-15 @016834,hypothesis,ghidra,
0x016860,0x016860,ext_flash,thunk,thunk_FUN_0001688c,0x4,ghidra passat_azx_ori.bin 2026-09-15 @016860,hypothesis,ghidra,
0x01688C,0x01688C,ext_flash,func,FUN_0001688c,0x34,ghidra passat_azx_ori.bin 2026-09-15 @01688C,hypothesis,ghidra,
0x016898,0x016898,ext_flash,func,FUN_00016898,0x118,ghidra passat_azx_ori.bin 2026-09-15 @016898,hypothesis,ghidra,
0x0169B0,0x0169B0,ext_flash,func,FUN_000169b0,0x178,ghidra passat_azx_ori.bin 2026-09-15 @0169B0,hypothesis,ghidra,
0x016B28,0x016B28,ext_flash,func,FUN_00016b28,0x4C,ghidra passat_azx_ori.bin 2026-09-15 @016B28,hypothesis,ghidra,
0x016B74,0x016B74,ext_flash,func,FUN_00016b74,0x7C,ghidra passat_azx_ori.bin 2026-09-15 @016B74,hypothesis,ghidra,
0x016BF0,0x016BF0,ext_flash,func,FUN_00016bf0,0x6E8,ghidra passat_azx_ori.bin 2026-09-15 @016BF0,hypothesis,ghidra,
0x0172D8,0x0172D8,ext_flash,func,FUN_000172d8,0x474,ghidra passat_azx_ori.bin 2026-09-15 @0172D8,hypothesis,ghidra,
0x01774C,0x01774C,ext_flash,func,FUN_0001774c,0x24,ghidra passat_azx_ori.bin 2026-09-15 @01774C,hypothesis,ghidra,
0x017770,0x017770,ext_flash,func,FUN_00017770,0xC8,ghidra passat_azx_ori.bin 2026-09-15 @017770,hypothesis,ghidra,
0x017838,0x017838,ext_flash,func,qspi_configure,0xA4,ghidra passat_azx_ori.bin 2026-09-15 @017838,static,ghidra,"VERIFIED-STATIC QSPI setup from a 5-byte device record: PQSPAR=0x7B, DDRQS=0x7E, PORTQS|=0x78 (PCS idle high), SPCR0/1/2 from cfg[0..4]. B4 #18, re/findings/eeprom.md 1.4"
0x0178DC,0x0178DC,ext_flash,func,qspi_transfer,0x110,ghidra passat_azx_ori.bin 2026-09-15 @0178DC,static,ghidra,"VERIFIED-STATIC qspi_transfer(queue, n<=32, rxbuf, wait): copies n {u16 data, u8 cmd} entries to TXRAM 0x705180 / CMDRAM 0x7051C0, sets ENDQP=n-1 (5-bit field, so the queue is 32 deep), SPE, polls SPIF, copies RXRAM 0x705140. B4 #18, re/findings/eeprom.md 1.3"
0x0179EC,0x0179EC,ext_flash,func,qspi_transfer_blocking,0x24,ghidra passat_azx_ori.bin 2026-09-15 @0179EC,static,ghidra,VERIFIED-STATIC qspi_transfer with wait=1. B4 #18
0x017A10,0x017A10,ext_flash,func,spi_find_device,0x74,ghidra passat_azx_ori.bin 2026-09-15 @017A10,static,ghidra,VERIFIED-STATIC walks the 15-byte SPI device records at *(0x7F83A0) for record[0] == (id | 0x80); count at file 0x0102EA = 4. B4 #18
0x017A84,0x017A84,ext_flash,func,eeprom_test_wel,0xB0,ghidra passat_azx_ori.bin 2026-09-15 @017A84,static,ghidra,"VERIFIED-STATIC M95xxx write-enable-latch self-test: WRDI/RDSR/WREN/RDSR queue at *(0x7F83A4); passes only if status bit 1 (WEL) is 0 after WRDI and 1 after WREN. B4 #18, re/findings/eeprom.md 1.6"
0x017B34,0x017B34,ext_flash,func,eeprom_dump_probe,0x1BC,ghidra passat_azx_ori.bin 2026-09-15 @017B34,static,ghidra,"VERIFIED-STATIC reads the whole EEPROM twice, once with a 1-byte and once with a 2-byte address, into two buffers: a device-width probe. B4 #18"
0x017CF0,0x017CF0,ext_flash,func,qspi_loopback_test,0x124,ghidra passat_azx_ori.bin 2026-09-15 @017CF0,static,ghidra,VERIFIED-STATIC QSPI self-test with SPCR3.LOOPQ set; compares RX with the transmitted 5-entry pattern. Error codes 1/2/3. B4 #18
0x017E14,0x017E14,ext_flash,func,spi_select_device_table,0x1CC,ghidra passat_azx_ori.bin 2026-09-15 @017E14,static,ghidra,"VERIFIED-STATIC picks one of six SPI device tables by hardware variant and stores 0x7F83A0/A4/A8. Operands are r2=0x017FF0 relative, so Ghidra's DAT_005C2xxx labels are wrong by 0x5B2D00. B4 #18, eeprom.md 1.5"
0x017FE0,0x017FE0,ext_flash,func,FUN_00017fe0,0x48,ghidra passat_azx_ori.bin 2026-09-15 @017FE0,hypothesis,ghidra,
0x018028,0x018028,ext_flash,func,FUN_00018028,0x38,ghidra passat_azx_ori.bin 2026-09-15 @018028,hypothesis,ghidra,
0x018060,0x018060,ext_flash,func,boot_tpu_code_load,0xAC,ghidra passat_azx_ori.bin 2026-09-15 @018060,static,ghidra,VERIFIED-STATIC -- evidence: sth 0xFFA0 to 0x700004 then copies 0x200 words from file 0x10624 to 0x702000 (source: dump)
0x01814C,0x01814C,ext_flash,func,FUN_0001814c,0xC,ghidra passat_azx_ori.bin 2026-09-15 @01814C,hypothesis,ghidra,
0x018158,0x018158,ext_flash,thunk,fatal_exception_handler,0x4,ghidra passat_azx_ori.bin 2026-09-15 @018158,hypothesis,ghidra,
0x01815C,0x01815C,ext_flash,func,FUN_0001815c,0xCC,ghidra passat_azx_ori.bin 2026-09-15 @01815C,hypothesis,ghidra,
0x018228,0x018228,ext_flash,func,FUN_00018228,0xF4,ghidra passat_azx_ori.bin 2026-09-15 @018228,hypothesis,ghidra,
0x01831C,0x01831C,ext_flash,func,FUN_0001831c,0x3C,ghidra passat_azx_ori.bin 2026-09-15 @01831C,hypothesis,ghidra,
0x018358,0x018358,ext_flash,thunk,thunk_FUN_0001831c,0x4,ghidra passat_azx_ori.bin 2026-09-15 @018358,hypothesis,ghidra,
0x01835C,0x01835C,ext_flash,func,FUN_0001835c,0x12C,ghidra passat_azx_ori.bin 2026-09-15 @01835C,hypothesis,ghidra,
0x018488,0x018488,ext_flash,func,FUN_00018488,0x158,ghidra passat_azx_ori.bin 2026-09-15 @018488,hypothesis,ghidra,
0x0185E0,0x0185E0,ext_flash,func,FUN_000185e0,0xCC,ghidra passat_azx_ori.bin 2026-09-15 @0185E0,hypothesis,ghidra,
0x0186AC,0x0186AC,ext_flash,func,FUN_000186ac,0x18,ghidra passat_azx_ori.bin 2026-09-15 @0186AC,hypothesis,ghidra,
0x0186C4,0x0186C4,ext_flash,func,FUN_000186c4,0x120,ghidra passat_azx_ori.bin 2026-09-15 @0186C4,hypothesis,ghidra,
0x0187E4,0x0187E4,ext_flash,func,FUN_000187e4,0x284,ghidra passat_azx_ori.bin 2026-09-15 @0187E4,hypothesis,ghidra,
0x018A68,0x018A68,ext_flash,func,FUN_00018a68,0x128,ghidra passat_azx_ori.bin 2026-09-15 @018A68,hypothesis,ghidra,
0x018B90,0x018B90,ext_flash,func,FUN_00018b90,0x154,ghidra passat_azx_ori.bin 2026-09-15 @018B90,hypothesis,ghidra,
0x018CE4,0x018CE4,ext_flash,func,FUN_00018ce4,0x1C,ghidra passat_azx_ori.bin 2026-09-15 @018CE4,hypothesis,ghidra,
0x018D00,0x018D00,ext_flash,func,FUN_00018d00,0x24,ghidra passat_azx_ori.bin 2026-09-15 @018D00,hypothesis,ghidra,
0x018D24,0x018D24,ext_flash,func,FUN_00018d24,0x9C,ghidra passat_azx_ori.bin 2026-09-15 @018D24,hypothesis,ghidra,
0x018DC0,0x018DC0,ext_flash,func,FUN_00018dc0,0x80,ghidra passat_azx_ori.bin 2026-09-15 @018DC0,hypothesis,ghidra,
0x018E40,0x018E40,ext_flash,func,FUN_00018e40,0x20,ghidra passat_azx_ori.bin 2026-09-15 @018E40,hypothesis,ghidra,
0x018E60,0x018E60,ext_flash,func,FUN_00018e60,0x68,ghidra passat_azx_ori.bin 2026-09-15 @018E60,hypothesis,ghidra,
0x018EC8,0x018EC8,ext_flash,func,FUN_00018ec8,0x54,ghidra passat_azx_ori.bin 2026-09-15 @018EC8,hypothesis,ghidra,
0x018F1C,0x018F1C,ext_flash,func,FUN_00018f1c,0x58,ghidra passat_azx_ori.bin 2026-09-15 @018F1C,hypothesis,ghidra,
0x018F74,0x018F74,ext_flash,func,FUN_00018f74,0x54,ghidra passat_azx_ori.bin 2026-09-15 @018F74,hypothesis,ghidra,
0x018FC8,0x018FC8,ext_flash,func,FUN_00018fc8,0x24,ghidra passat_azx_ori.bin 2026-09-15 @018FC8,hypothesis,ghidra,
0x018FEC,0x018FEC,ext_flash,func,FUN_00018fec,0x40,ghidra passat_azx_ori.bin 2026-09-15 @018FEC,hypothesis,ghidra,
0x01902C,0x01902C,ext_flash,func,FUN_0001902c,0x24,ghidra passat_azx_ori.bin 2026-09-15 @01902C,hypothesis,ghidra,
0x019050,0x019050,ext_flash,func,FUN_00019050,0x70,ghidra passat_azx_ori.bin 2026-09-15 @019050,hypothesis,ghidra,
0x0190C0,0x0190C0,ext_flash,func,FUN_000190c0,0xB8,ghidra passat_azx_ori.bin 2026-09-15 @0190C0,hypothesis,ghidra,
0x019178,0x019178,ext_flash,func,FUN_00019178,0x33C,ghidra passat_azx_ori.bin 2026-09-15 @019178,hypothesis,ghidra,
0x0194B4,0x0194B4,ext_flash,func,FUN_000194b4,0x118,ghidra passat_azx_ori.bin 2026-09-15 @0194B4,hypothesis,ghidra,
0x0195CC,0x0195CC,ext_flash,func,FUN_000195cc,0x54,ghidra passat_azx_ori.bin 2026-09-15 @0195CC,hypothesis,ghidra,
0x019620,0x019620,ext_flash,func,FUN_00019620,0x164,ghidra passat_azx_ori.bin 2026-09-15 @019620,hypothesis,ghidra,
0x019784,0x019784,ext_flash,func,FUN_00019784,0xC,ghidra passat_azx_ori.bin 2026-09-15 @019784,hypothesis,ghidra,
0x019948,0x019948,ext_flash,func,FUN_00019948,0xE8,ghidra passat_azx_ori.bin 2026-09-15 @019948,hypothesis,ghidra,
0x019AF8,0x019AF8,ext_flash,func,FUN_00019af8,0x3C,ghidra passat_azx_ori.bin 2026-09-15 @019AF8,hypothesis,ghidra,
0x019B34,0x019B34,ext_flash,func,FUN_00019b34,0xF8,ghidra passat_azx_ori.bin 2026-09-15 @019B34,hypothesis,ghidra,
0x019C2C,0x019C2C,ext_flash,func,FUN_00019c2c,0x104,ghidra passat_azx_ori.bin 2026-09-15 @019C2C,hypothesis,ghidra,
0x019D4C,0x019D4C,ext_flash,func,FUN_00019d4c,0x38,ghidra passat_azx_ori.bin 2026-09-15 @019D4C,hypothesis,ghidra,
0x019D84,0x019D84,ext_flash,func,FUN_00019d84,0x4C,ghidra passat_azx_ori.bin 2026-09-15 @019D84,hypothesis,ghidra,
0x019DD0,0x019DD0,ext_flash,func,FUN_00019dd0,0x14,ghidra passat_azx_ori.bin 2026-09-15 @019DD0,hypothesis,ghidra,
0x019DE4,0x019DE4,ext_flash,func,FUN_00019de4,0xC,ghidra passat_azx_ori.bin 2026-09-15 @019DE4,hypothesis,ghidra,
0x019DF0,0x019DF0,ext_flash,func,FUN_00019df0,0x14,ghidra passat_azx_ori.bin 2026-09-15 @019DF0,hypothesis,ghidra,
0x019E04,0x019E04,ext_flash,func,FUN_00019e04,0x9C,ghidra passat_azx_ori.bin 2026-09-15 @019E04,hypothesis,ghidra,
0x019EA0,0x019EA0,ext_flash,func,FUN_00019ea0,0x68,ghidra passat_azx_ori.bin 2026-09-15 @019EA0,hypothesis,ghidra,
0x019F08,0x019F08,ext_flash,func,FUN_00019f08,0x48,ghidra passat_azx_ori.bin 2026-09-15 @019F08,hypothesis,ghidra,
0x019F64,0x019F64,ext_flash,func,FUN_00019f64,0x1C,ghidra passat_azx_ori.bin 2026-09-15 @019F64,hypothesis,ghidra,
